====
Starting job 9714176 at Mon  2 Mar 14:17:29 GMT 2026 for user dc-guan2.
Running on nodes: m8159
====
✅ Using NumPy with CPU.
Using /cosma/home/dp322/dc-guan2/folps/pipeline//config/p0p2b0_LRG2_nowindow.yml
Initialising power spectrum data from /cosma/home/dp322/dc-guan2/fitting/data/LRG/z0.8.
2: pk2_box_phmean
0: pk0_box_phmean
Initialising bispectrum data from /cosma/home/dp322/dc-guan2/fitting/data/LRG/z0.8.
000: bk000_box_phmean
Initialising baccoemu for the linear power spectrum...
Total time: 0.006990309556325277
Loading matrices from matrices_nfftlog128_Afull-True_use_TNS-False.npy
Starting sampling at 2026-03-02 14:17:43.220962 with 72 CPUs. 

Resuming from /cosma/home/dp322/dc-guan2/folps/pipeline/results/LRG/z0.8/p0p2b0_noresc_secondtest_200.state

Iter: 200it [00:00, ?it/s]
Iter: 200it [00:00, ?it/s, beta=0.358, calls=556288, ESS=3.99e+3, logZ=-28.3, logP=-46.9, acc=0.488, steps=10, eff=1]
Iter: 203it [03:51, 46.45s/it, beta=0.4, calls=566528, ESS=3982, logZ=-29, logP=-45.2, acc=0.472, steps=15, eff=1]
Iter: 203it [03:56, 46.45s/it, beta=0.4, calls=566784, ESS=3982, logZ=-29, logP=-45, acc=0.461, steps=16, eff=1]  
Iter: 203it [04:01, 46.45s/it, beta=0.4, calls=567040, ESS=3982, logZ=-29, logP=-45.1, acc=0.451, steps=17, eff=1]
Iter: 203it [04:06, 46.45s/it, beta=0.4, calls=567296, ESS=3982, logZ=-29, logP=-45, acc=0.474, steps=18, eff=1]  
Iter: 203it [04:10, 46.45s/it, beta=0.4, calls=567552, ESS=3982, logZ=-29, logP=-45.1, acc=0.44, steps=19, eff=1]
Iter: 203it [04:15, 46.45s/it, beta=0.4, calls=567808, ESS=3982, logZ=-29, logP=-44.9, acc=0.448, steps=20, eff=1]
Iter: 204it [04:15, 79.17s/it, beta=0.4, calls=567808, ESS=3982, logZ=-29, logP=-44.9, acc=0.448, steps=20, eff=1]
Iter: 204it [04:17, 79.17s/it, beta=0.414, calls=567808, ESS=3996, logZ=-29.3, logP=-44.9, acc=0.448, steps=20, eff=1]
Iter: 204it [04:22, 79.17s/it, beta=0.414, calls=568064, ESS=3996, logZ=-29.3, logP=-44.9, acc=0.495, steps=1, eff=1] 
Iter: 204it [04:27, 79.17s/it, beta=0.414, calls=568320, ESS=3996, logZ=-29.3, logP=-45, acc=0.514, steps=2, eff=1]  
Iter: 204it [04:32, 79.17s/it, beta=0.414, calls=568576, ESS=3996, logZ=-29.3, logP=-45, acc=0.496, steps=3, eff=1]
Iter: 204it [04:36, 79.17s/it, beta=0.414, calls=568832, ESS=3996, logZ=-29.3, logP=-45, acc=0.506, steps=4, eff=1]
Iter: 204it [04:41, 79.17s/it, beta=0.414, calls=569088, ESS=3996, logZ=-29.3, logP=-44.9, acc=0.472, steps=5, eff=1]
Iter: 204it [04:45, 79.17s/it, beta=0.414, calls=569344, ESS=3996, logZ=-29.3, logP=-44.8, acc=0.427, steps=6, eff=1]
Iter: 204it [04:50, 79.17s/it, beta=0.414, calls=569600, ESS=3996, logZ=-29.3, logP=-44.8, acc=0.49, steps=7, eff=1] 
Iter: 204it [04:55, 79.17s/it, beta=0.414, calls=569856, ESS=3996, logZ=-29.3, logP=-45, acc=0.453, steps=8, eff=1] 
Iter: 204it [04:59, 79.17s/it, beta=0.414, calls=570112, ESS=3996, logZ=-29.3, logP=-45.1, acc=0.469, steps=9, eff=1]
Iter: 204it [05:04, 79.17s/it, beta=0.414, calls=570368, ESS=3996, logZ=-29.3, logP=-45.2, acc=0.455, steps=10, eff=1]
Iter: 204it [05:09, 79.17s/it, beta=0.414, calls=570624, ESS=3996, logZ=-29.3, logP=-45.1, acc=0.475, steps=11, eff=1]
Iter: 204it [05:13, 79.17s/it, beta=0.414, calls=570880, ESS=3996, logZ=-29.3, logP=-45.1, acc=0.419, steps=12, eff=1]
Iter: 204it [05:18, 79.17s/it, beta=0.414, calls=571136, ESS=3996, logZ=-29.3, logP=-45.2, acc=0.473, steps=13, eff=1]
Iter: 204it [05:22, 79.17s/it, beta=0.414, calls=571392, ESS=3996, logZ=-29.3, logP=-45.5, acc=0.471, steps=14, eff=1]
Iter: 204it [05:27, 79.17s/it, beta=0.414, calls=571648, ESS=3996, logZ=-29.3, logP=-45.5, acc=0.434, steps=15, eff=1]
Iter: 205it [05:27, 76.72s/it, beta=0.414, calls=571648, ESS=3996, logZ=-29.3, logP=-45.5, acc=0.434, steps=15, eff=1]
